group,function,value,sample_time_nanos,iteration_count
create ed25519 signature helper,,,96471247.0,1693
create ed25519 signature helper,,,175030322.0,3386
create ed25519 signature helper,,,288550282.0,5079
create ed25519 signature helper,,,344509567.0,6772
create ed25519 signature helper,,,420270780.0,8465
create ed25519 signature helper,,,501646235.0,10158
create ed25519 signature helper,,,599355950.0,11851
create ed25519 signature helper,,,738406780.0,13544
create ed25519 signature helper,,,850011109.0,15237
create ed25519 signature helper,,,998985843.0,16930
